length,homogeneity,completeness,v_measure,rmse
2,0.04232026918533865,0.20196566027472343,0.06997735095027917,0.0
3,0.6502188599630887,0.9674364959080932,0.7777249377291194,0.0
4,0.9393373906686883,0.955267931742838,0.9472356862701622,0.0
5,0.7837682077270639,0.970438461440291,0.8671712712088699,1.0
6,0.4333467379843596,0.9999999999999996,0.6046642120855591,4.0
7,0.5226915791490346,0.967152178793448,0.6786245831698725,2.0
8,0.4522775159814861,0.9831669391290178,0.619549296305111,4.0
9,0.7086477319905551,0.9482267208601703,0.811116031144383,2.0
10,0.7244168945849435,0.9395935181136245,0.8180927395282032,5.0
11,0.7371984222474356,0.904249080161533,0.8122233507138874,5.0
12,0.5331878794600182,0.9724015677395434,0.6887305577905293,6.0
13,0.46447261696749326,0.9358433402423747,0.6208221838449429,5.0
14,0.5717941352201371,0.9776766777175399,0.7215751155719029,7.0
15,0.3951883827528659,0.9749563298418772,0.5624098121945479,9.0
16,0.5923242249120861,0.9817339451330558,0.7388606205120678,9.0
17,0.4840725629275705,0.9879822566476393,0.649778930434666,10.0
18,0.4643996614259247,0.9784475079120366,0.6298528368820698,10.0
19,0.49674104120017093,0.9922229022363274,0.6620413338176299,13.0
20,0.4492861224628714,0.9881303725770271,0.617709988879183,13.0
21,0.45432472812457597,0.9822026306220725,0.6212745485194993,14.0
22,0.3855154347295393,0.9516336592678423,0.5487338180952661,16.0
23,0.36493392183142065,0.9811172826049701,0.5319901301489274,15.0
24,0.4864382244609745,0.9469999123211906,0.6427301522035939,16.0
25,0.4089934871579393,0.9450061858563416,0.5709032033645585,18.0
26,0.42215686096449173,0.9866195913194095,0.5913049284181753,18.0
27,0.40431786460504004,0.9864330342786095,0.5735498690894811,20.0
28,0.4526342181740734,0.9919108707023297,0.6216113362137193,21.0
29,0.4614844283510391,0.9911728343712157,0.6297573978457927,21.0
30,0.45199884081794667,0.9928443082110587,0.6211947320727279,22.0
31,0.4185747299742487,0.9903396990997618,0.5884405235396821,24.0
32,0.4224903988643722,0.9917847857235311,0.5925573103088081,24.0
33,0.41490283266444633,0.9889472380511085,0.5845595893497989,25.0
2,1.0,1.0,1.0,0.0
3,0.18623741974408786,0.9999999999999889,0.3139968722016295,1.0
4,0.6818160704563595,1.0,0.8108093178956832,1.0
5,0.36003651869807113,0.9999999999999994,0.529451251857156,3.0
6,0.47323068537423457,0.9719405095367858,0.6365364533845352,2.0
7,0.46802764614800024,0.9210039104758335,0.6206558666828659,2.0
8,0.8662889990467453,0.991264803968741,0.9245727293888668,3.0
9,0.763895339674631,0.9814258169997865,0.8591044748131231,3.0
10,0.5730445174472477,0.9743935535540154,0.7216713795063581,5.0
11,0.5708334371023044,0.9095611839879096,0.7014453166930548,4.0
12,0.5759423663946818,0.9823411948816417,0.7261475721706419,7.0
13,0.5155951985932068,1.0,0.6803864238574895,9.0
14,0.4934554286779887,0.992795258428942,0.6592430389938403,9.0
15,0.43100209596022293,0.9877941320798406,0.6001444504708658,9.0
16,0.5624571639312683,0.9863711391375509,0.7164015693717735,10.0
17,0.5826384618192844,0.9889670593210709,0.7332759251375908,10.0
18,0.4586492594103632,0.9773990713858063,0.6243290711405804,11.0
19,0.483892551798341,0.9484554856005227,0.6408366307784013,12.0
20,0.4851454643216109,0.9654749240271748,0.6457868427469187,13.0
21,0.6031457584375519,0.9904314129919782,0.7497277401803438,12.0
22,0.4368041135627594,0.983666897938396,0.6049679914846483,15.0
23,0.41527130102431925,0.9903320098068035,0.585167179088853,17.0
24,0.3979529296577104,0.985199841586763,0.5669123055799699,16.0
25,0.47749967310940533,0.9859571332448789,0.6434002107614549,17.0
26,0.3781195890417844,0.941489133350453,0.5395470310993652,18.0
27,0.4166889260542404,0.989557630837254,0.5864372850431373,19.0
28,0.4211514338527803,0.9869500663851797,0.590377093595841,20.0
29,0.4179432456951959,0.9877954274796598,0.5873672467320251,21.0
