length,homogeneity,completeness,v_measure,rmse
2,1.0000000000000002,0.7024066009656089,0.8251925251784178,2.0
3,0.9561426373460914,0.5999387027802521,0.7372711936456078,4.0
4,0.7940229573291421,0.4471965293964322,0.5721539414683563,6.0
5,0.9751127958421341,0.9761006321068438,0.9756064639197096,0.0
6,0.8502779570862867,0.5643664031303766,0.6784296121299871,8.0
7,0.9393692591945102,0.6712778283549041,0.7830116990989808,11.0
8,0.7607261867394453,0.6029123547173602,0.6726873766009134,6.0
9,0.8176289053814862,0.6006731604996604,0.6925573198065574,5.0
10,0.8166665432225039,0.6238058955793001,0.7073254449884824,6.0
11,0.8557209637172178,0.7926839848770635,0.8229971695251904,6.0
12,0.7964284664001027,0.6560931385567551,0.7194815559000329,9.0
13,0.8514758458072108,0.5925934642710022,0.6988293673835475,9.0
14,0.8972999213827709,0.837341091163949,0.8662842511360703,10.0
15,0.8008350823916403,0.7057565325441812,0.7502956810396613,5.0
16,0.8766122375785468,0.814314558921607,0.8443158025132076,2.0
17,0.7595499913132987,0.6770282631182011,0.7159189689583424,13.0
18,0.7283403093432443,0.7363808047419816,0.7323384881430677,6.0
19,0.843912419126659,0.73971069743349,0.78838334398771,7.0
20,0.7469268166477565,0.725973871826546,0.7363013097842123,6.0
21,0.7536732751971525,0.7136184217613163,0.733099129893185,6.0
22,0.7538094162067672,0.6829773131576033,0.7166473898900229,8.0
23,0.7522563422522734,0.7290465025367079,0.7404695903466022,6.0
24,0.8358225417018661,0.7603190335627941,0.796284987478493,6.0
25,0.7879142527320965,0.7319430663384737,0.7588980451259584,9.0
26,0.7697490729535502,0.7468692557266114,0.7581365810254661,5.0
27,0.7854825550043408,0.7427497560961404,0.7635187031572815,7.0
28,0.845907088620672,0.745362697580927,0.7924584441236326,10.0
29,0.748859603753356,0.7349710833611253,0.7418503459128462,5.0
30,0.7985840975368046,0.7437479227054734,0.7701911856246404,8.0
31,0.7658664795749712,0.7453462308066077,0.7554670364150067,7.0
32,0.7517217205892939,0.7390247791483326,0.7453191788641242,5.0
33,0.761184773054412,0.7483712295464493,0.7547236187876429,5.0
2,1.0,0.9447176718698077,0.9715730828542123,1.0
3,0.42025240640537553,0.15993471790324615,0.23169404232021942,2.0
4,0.8113018820415797,0.526152832043632,0.638330073359492,4.0
5,0.988717482654633,0.7466560302131837,0.8508045848657732,6.0
