Feature,Importance
Channel,0.00538336080776621
DS Channel,0.011925126968678592
HT Capabilities SUM,0.14809758378530316
Extended Capabilities SUM,0.21724276165184214
Vendor Specific Tags SUM,0.21704674074267186
Supported Rates SUM,0.05320772541130325
Extended Supported Rates SUM,0.019153419631574888
Length,0.15314054281342562
Length NO SSID,0.17480273818743428
