Feature,Importance
Channel,0.005991827516603434
DS Channel,0.01379889476735295
HT Capabilities,0.1715472452387276
Extended Capabilities,0.18480885491453367
Vendor Specific Tags,0.17491147771038335
Supported Rates,0.049012833141728926
Extended Supported Rates,0.014409808913507668
VHT Capabilities,0.04414129752726364
HE Capabilities,0.03553980961083123
Length,0.1504392252462325
Length NO SSID,0.15539872541283511
