,MAC Address,Vendor Specific Tags,Length,DSSS_CCK,SM_Power_Save,Min_MPDCU_Start_Spacing,RX_Highest_Supported_Data_Rate,Extended_Channel_Switching,WNM_Sleep_Mode,DMS,Interworking,QoS_Map,WNM_Notification,Operating_Mode_Notification,Label,BL
41,02:7c:eb:56:30:e5,62,132,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone11_B,465
42,02:84:0c:20:c0:9b,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
43,02:8a:46:d4:7b:0b,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
44,02:8c:f7:68:e1:d6,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
45,02:8f:27:02:c8:a0,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
46,02:92:18:20:0f:af,59,84,[],[],[],[],[],[],[],[],[],[],[],GooglePixel3A_V,23
47,02:98:40:a8:95:03,62,143,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_W,1206
48,02:99:a2:23:76:f8,62,113,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhoneXSMax_M,103
49,02:9a:6e:43:e4:6c,62,143,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_W,1206
50,02:9e:52:3d:4c:82,62,143,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_W,1206
51,02:9e:d0:33:e6:fd,62,131,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_W,1206
52,02:a1:c2:e8:ae:2c,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
53,02:a3:cc:9e:fb:d9,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
54,02:a8:21:b2:4e:26,26,84,[],[],[],[],[],[],[],[],[],[],[],GooglePixel3A_L,46
55,02:a8:86:01:9e:fa,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
56,02:ab:6d:5e:38:03,62,143,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_W,1206
57,02:b1:87:4c:e5:17,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
58,02:b8:33:24:4b:a7,62,143,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_W,1206
59,02:b8:94:8c:4a:a9,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
60,02:b8:a1:e1:fe:3a,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
61,02:bc:a8:5a:82:fd,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
62,02:bd:43:b4:e1:b0,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
63,02:be:5b:65:4b:56,62,131,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_W,1206
64,02:be:88:96:25:88,62,132,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone11_B,465
65,02:c2:cd:11:3e:91,62,143,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_W,1206
66,02:c3:1f:d5:fb:9e,62,132,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone11_B,465
67,02:c7:33:10:57:04,62,135,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_M,325
68,02:c8:c5:10:8c:9f,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
69,02:cb:0b:2a:31:03,62,132,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone11_C,334
70,02:cb:f3:2f:3f:30,62,[131 143],0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_W,1206
71,02:ce:e7:6e:08:32,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
72,02:d1:5d:7d:58:a4,26,165,0.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,XiaomiRedmiNote9S_T,138
73,02:d4:33:b3:2b:34,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
74,02:de:f5:1a:96:e5,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
75,02:e1:77:2c:4d:d5,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
76,02:f7:3b:d0:25:26,62,132,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone11_C,334
77,02:f7:4d:1c:b1:10,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
78,02:f9:f2:c3:e6:9e,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
79,02:fd:74:4d:50:ab,52,154,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,SamsungS7_I,38
80,06:05:ab:b6:e5:b5,28,165,0.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,OnePlusNord_O,35
81,06:10:2e:3b:1f:49,62,132,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone11_C,334
82,06:12:e5:be:fd:75,62,131,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_W,1206
83,06:14:9b:b3:15:f6,62,132,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone11_B,465
84,06:15:5e:9a:f2:71,0,121,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,[],[],SamsungJ6_K,27
85,06:19:55:69:6e:bd,62,143,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_W,1206
86,06:1e:cc:b7:bb:54,62,132,0.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,iPhone11_M,236
87,06:39:91:eb:99:ca,62,135,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,iPhone12_M,325
