,MAC Address,Channel,DS Channel,Vendor Specific Tags,Length,Label,Supported Rates 1,Supported Rates 2,Supported Rates 3,Supported Rates 4,Extended Supported Rates 1,Extended Supported Rates 2,Extended Supported Rates 3,Extended Supported Rates 4,Forty_Mhz_Intolerant,DSSS_CCK,Max_A_MSDU,Rx_STBC,Tx_STBC,Short_GI_40Mhz,SM_Power_Save,Supported_Channel_Width,LDPC_Coding_Capability,Min_MPDCU_Start_Spacing,Max_A_MPDU_Length_Exponent,RX_Highest_Supported_Data_Rate,RX_MSC_Bitmask,RD_Responder,HTC_HT_Support,MCS_Feedback,Compressed_Steering_n_Beamformer_Antennas_Supported,20_40_BSS_Coexistence_Management_Support,Extended_Channel_Switching,FMS,TFS,WNM_Sleep_Mode,TIM_Broadcast,BSS_Transition,Multiple_BSSID,Timing_Measurement,SSID_List,DMS,Interworking,QoS_Map,WNM_Notification,Operating_Mode_Notification
14,02:29:87:7d:c0:ee,11,2.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
15,02:2a:a7:ea:b2:e9,11,9.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
16,02:2e:1f:72:c9:05,6,11.0,62,131,iPhone12_W,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,02:2f:c2:8f:63:63,11,1.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
18,02:33:62:82:65:04,11,11.0,62,132,iPhone11_C,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19,02:35:37:d8:40:5d,6,5.0,62,143,iPhone12_W,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,02:3b:2c:39:a2:a3,11,1.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
21,02:3e:47:ce:61:26,1,2.0,62,143,iPhone12_W,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22,02:43:ab:34:e2:2b,11,9.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
23,02:44:4c:cc:8a:98,11,12.0,1,156,iPhone6_N,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
