mac,e_id_ssid,len_ssid,ssid,e_id_sup_rates,len_sup_rates,supported_rates,e_id_ext_sup_rates,len_ext_sup_rates,ext_sup_rates,e_id_dsss,len_dsss,dsss_parameter,e_id_ht_cap,len_ht_cap,ht_cap,e_id_vht_cap,len_vht_cap,vht_cap,e_id_ext_cap,len_ext_cap,ext_cap,e_id_vst,len_vst,vst,e_id_ext_tags,len_ext_tags,ext_tags,frame_check_seq,label
16:79:e9:ba:56:4e,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,,,,,,,,,,11011101,00000111,00000000010100001111001000001000000000000010011100000000,,,,11111010110111100010001011100101,GooglePixel3A_L
16:79:e9:ba:56:4e,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000010,,,,,,,,,,11011101,00000111,00000000010100001111001000001000000000000010011100000000,,,,00010000000010110100110000010011,GooglePixel3A_L
16:79:e9:ba:56:4e,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000010,,,,,,,,,,11011101,00000111,00000000010100001111001000001000000000000010011100000000,,,,10001111000000111100001001000001,GooglePixel3A_L
16:79:e9:ba:56:4e,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000011,,,,,,,,,,11011101,00000111,00000000010100001111001000001000000000000010011100000000,,,,01011000000001100101100110110011,GooglePixel3A_L
16:79:e9:ba:56:4e,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000101,,,,,,,,,,11011101,00000111,00000000010100001111001000001000000000000010011100000000,,,,11001101101010111111010110000100,GooglePixel3A_L
16:79:e9:ba:56:4e,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000110,,,,,,,,,,11011101,00000111,00000000010100001111001000001000000000000010011100000000,,,,01101010010101101010111111000100,GooglePixel3A_L
16:79:e9:ba:56:4e,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000111,,,,,,,,,,11011101,00000111,00000000010100001111001000001000000000000010011100000000,,,,10111101010100110011010000110110,GooglePixel3A_L
16:79:e9:ba:56:4e,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001001,,,,,,,,,,11011101,00000111,00000000010100001111001000001000000000000010011100000000,,,,11011100101111100100111100010010,GooglePixel3A_L
16:79:e9:ba:56:4e,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001001,,,,,,,,,,11011101,00000111,00000000010100001111001000001000000000000010011100000000,,,,11011100101111100100111100010010,GooglePixel3A_L
16:79:e9:ba:56:4e,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001010,,,,,,,,,,11011101,00000111,00000000010100001111001000001000000000000010011100000000,,,,01000000000011011111011010101011,GooglePixel3A_L
