,HT Capabilities,HT Capabilities,HT Capabilities,Extended Capabilities,Extended Capabilities,Extended Capabilities,Vendor Specific Tags,Vendor Specific Tags,Vendor Specific Tags,Supported Rates,Supported Rates,Supported Rates,Extended Supported Rates,Extended Supported Rates,Extended Supported Rates,VHT Capabilities,VHT Capabilities,VHT Capabilities,HE Capabilities,HE Capabilities,HE Capabilities
,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length
MAC Address,,,,,,,,,,,,,,,,,,,,,
5e:16:da:a1:37:8d,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:2d:03:e7:ed:b1,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:33:19:3a:be:ea,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
5e:35:81:38:cd:a5,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
5e:3d:44:ee:3d:d3,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:55:fb:18:68:5c,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:58:78:38:a0:08,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:5a:f0:18:30:a6,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:5d:9a:e3:28:7d,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
5e:6e:31:45:d9:62,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
5e:6f:06:ff:a5:72,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:72:bd:1a:b2:a2,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:79:ff:fe:45:ce,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:7d:7a:d1:41:d1,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:7e:1c:45:13:fc,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:7e:37:1f:31:13,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:80:f2:1d:5a:6f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:83:0e:10:a4:30,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:84:b2:ee:fe:7b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:85:8e:f9:2d:e4,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:85:df:8f:39:51,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:88:e5:d3:c7:fe,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:8c:a2:95:69:89,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
5e:92:f9:bd:86:b3,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:98:f2:af:97:ce,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:a1:b7:98:d6:4d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:a1:d1:2e:3f:26,3,3,3.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
5e:a4:5c:db:8e:6e,52,52,52.0,19,19,19.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,6,6,6.0
5e:a5:a2:e1:cb:7d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:af:71:20:0f:15,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:af:87:17:87:d2,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:b6:9b:4a:e8:7e,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:b7:d1:6b:91:5f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:ba:41:04:5d:49,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:c0:65:e9:c8:7a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:c0:82:fd:bc:79,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:c8:7d:ae:a9:21,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:ca:3a:6e:9d:82,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:d0:64:7d:ee:55,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:d1:a1:a7:cd:3f,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
5e:d2:91:8b:3a:ad,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
5e:d3:5e:97:8f:87,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
5e:d8:fe:b6:b2:3c,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:d9:fc:f4:96:26,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
5e:e6:36:a2:85:f1,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
5e:fb:64:07:e7:50,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:01:a5:24:c9:b3,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
62:17:cb:7b:a1:0a,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
62:22:23:e5:cc:62,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:24:40:46:04:65,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:25:48:7b:87:36,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
62:28:80:4d:63:1e,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
62:2b:93:e2:5b:94,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:2e:48:f7:05:10,52,52,52.0,19,19,19.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,6,6,6.0
62:2e:9b:9a:8b:d8,3,3,3.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
62:38:e8:4d:3f:10,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:44:80:10:d1:e3,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:47:9d:66:97:74,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:4e:9e:9c:ea:e0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:54:a0:b1:68:cd,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:57:4b:7c:72:ed,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:5a:14:cf:03:6b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:5f:2f:de:66:66,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
62:6b:1b:46:66:1e,3,3,3.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
62:6e:64:94:69:09,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:74:14:9d:86:cf,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:75:aa:2a:f8:52,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:76:ee:e6:82:6d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:79:75:ca:83:fa,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
62:7b:d6:ec:f8:6b,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:7d:59:ed:97:5d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:7e:30:e0:28:5d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:7f:67:d8:95:16,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:86:c8:0e:f1:7f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
62:8e:ae:f2:f1:50,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
62:8f:6d:d0:e5:2a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:90:97:15:91:dd,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:a2:53:40:e5:6a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:a6:16:33:dd:41,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:aa:ea:ca:8d:0c,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:ad:31:09:7a:b2,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:b4:94:0d:d4:53,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:b7:0e:f2:7c:d1,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:b9:11:1e:1d:e4,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:c0:c3:e4:9d:01,52,52,52.0,3,3,3.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
62:c1:62:0b:7d:42,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
62:c4:f6:06:c0:19,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:ca:a9:03:ae:63,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:cb:15:e6:46:56,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:cc:98:5b:69:94,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:dc:b5:5d:52:ae,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:dd:20:ad:fa:32,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:e0:43:d7:d0:20,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:e0:fe:a8:7b:07,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:e4:31:19:1f:d7,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:e8:44:6c:e4:d8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:e9:d4:4b:63:b9,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:eb:98:45:9d:6f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
62:ef:f8:78:5c:b1,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
66:04:c0:df:33:16,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:0f:a5:2c:99:35,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:11:27:83:50:ef,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:11:5b:01:72:c6,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:12:da:7d:f0:5b,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:16:15:fc:48:6a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:19:64:2e:0a:6d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:1b:72:54:a4:6f,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
66:24:36:22:4b:c4,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:26:c5:2a:3a:da,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:27:42:ce:09:d0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:29:97:26:a9:64,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:2c:96:2d:04:61,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:33:5a:18:47:f6,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:39:a1:64:9d:a9,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:43:29:dd:87:95,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:47:67:df:51:d4,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:4c:15:4f:29:8d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:52:53:18:75:18,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:52:59:8c:df:16,52,52,52.0,19,19,19.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,6,6,6.0
66:54:39:88:93:09,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:5d:ca:6c:c8:1c,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:60:71:cf:ed:15,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:65:0d:ec:c1:9d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:6e:d4:a6:49:a5,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:6f:61:66:56:8e,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:76:31:bd:d7:c8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:78:e0:2c:79:9b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:82:ee:f2:b4:7e,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:86:6e:05:aa:42,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:8c:bd:c1:4e:f0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:98:b5:63:84:9f,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:9c:fa:ee:08:f4,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:a0:8b:60:2e:3b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:a1:48:b0:53:bf,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:a5:41:0a:0c:d1,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:ab:e9:e3:f2:b3,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:ac:20:bd:d8:8d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:be:bc:b9:65:76,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:cf:53:c0:d7:c4,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:d2:3f:ab:d8:b5,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:d6:73:17:90:c0,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:db:cf:ea:0b:99,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:dc:74:ce:22:38,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:df:0c:34:2c:25,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:df:f5:99:22:a8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:e1:bf:c1:bf:d6,52,52,52.0,6,6,6.0,18,18,18.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:e4:40:b6:e5:12,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:e4:b4:67:1b:36,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:e5:bb:80:93:4c,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:e8:1c:03:9e:cc,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:e9:76:19:ea:23,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
66:eb:f0:4a:ec:bc,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:f3:eb:f4:aa:11,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:f8:bc:1f:80:8d,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:f9:29:73:46:1b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:f9:3d:a0:fc:ae,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
66:fd:99:4c:bb:00,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:0d:1f:18:22:dd,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:12:92:22:93:8e,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:14:0e:02:d9:96,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
6a:15:b5:84:d8:2b,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
6a:21:9f:71:50:30,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
6a:23:9c:2b:a3:79,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:29:39:2a:1e:6f,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
6a:32:1e:41:54:ed,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:32:8d:5b:31:ab,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
6a:34:43:1c:03:32,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:3d:49:94:2f:db,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:4b:a1:0f:cc:b0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:4b:dd:54:68:f0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:52:0c:6f:2b:f5,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:52:3d:8e:6a:24,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:56:2c:32:5b:ac,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:5e:56:6a:38:79,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:5f:a2:2b:35:a8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
6a:67:e8:5d:6e:bd,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:68:3a:11:64:8c,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:6f:6b:1e:b7:c0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:77:5d:b3:b5:11,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:78:81:cc:11:28,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:7d:ce:4f:ce:cc,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:7f:09:3c:75:d8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:7f:ee:aa:cd:52,3,3,3.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
6a:88:b2:d8:44:a8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:8c:4c:8e:75:4b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:8c:82:50:bd:b1,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:92:e7:c9:5d:cf,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
6a:94:16:87:5f:3a,3,3,3.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
6a:97:6c:b7:5b:93,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:99:5f:11:7b:aa,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
6a:9d:93:08:a9:64,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
