,HT Capabilities,HT Capabilities,HT Capabilities,Extended Capabilities,Extended Capabilities,Extended Capabilities,Vendor Specific Tags,Vendor Specific Tags,Vendor Specific Tags,Supported Rates,Supported Rates,Supported Rates,Extended Supported Rates,Extended Supported Rates,Extended Supported Rates,VHT Capabilities,VHT Capabilities,VHT Capabilities,HE Capabilities,HE Capabilities,HE Capabilities
,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length
MAC Address,,,,,,,,,,,,,,,,,,,,,
02:7c:28:f1:b0:32,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:7c:eb:56:30:e5,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:84:0c:20:c0:9b,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:8a:46:d4:7b:0b,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:8c:f7:68:e1:d6,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:8f:27:02:c8:a0,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:92:18:20:0f:af,3,3,3.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:98:40:a8:95:03,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:99:a2:23:76:f8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:9a:6e:43:e4:6c,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:9e:52:3d:4c:82,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:9e:d0:33:e6:fd,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:a1:c2:e8:ae:2c,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:a3:cc:9e:fb:d9,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:a8:21:b2:4e:26,3,3,3.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:a8:86:01:9e:fa,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
