Labels Combination,homogeneity,v_measure,completeness,No. of Clusters,No. of Noise,rmse,length
"('iPhoneXR_L', 'SamsungM31_A', 'S21Ultra_M', 'XiaomiRedmi5_J', 'iPhone7_F', 'iPhone11_B', 'SamsungS7_I', 'OnePlusNord_O', 'XiaomiRedmiNote7_S', 'iPhone12Pro_C', 'iPhone11_M', 'iPhone12_W', 'SamsungJ6_K', 'SamsungS6_H', 'SamsungS4_C', 'XiaomiA2_E', 'iPhoneXR_A', 'iPhone12_M', 'GooglePixel3A_V', 'HuaweiL21_D')",0.7815029986411067,0.8584684950346904,0.9522498106464526,12,0,8.0,20
"('XiaomiA2_E', 'HuaweiP10_Q', 'SamsungM31_A', 'GooglePixel3A_L', 'XiaomiRedmiNote9S_T', 'XiaomiRedmiNote7_S', 'OppoFindX3Neo_A', 'iPhone7_X', 'iPhone6_N', 'iPhoneXR_A', 'HuaweiHonor9_R', 'iPhone11_C', 'GooglePixel3A_V', 'iPhone12_M', 'iPhone11_M', 'iPhone11_F', 'iPhoneXR_L', 'iPhone12_W', 'S21Ultra_M', 'HuaweiL21_D', 'iPhoneXR_U')",0.8095774889969473,0.870934337138534,0.942354160312635,17,0,4.0,21
"('iPhoneXR_U', 'SamsungS7_I', 'XiaomiRedmiNote7_S', 'HuaweiP10_Q', 'iPhone12Pro_C', 'XiaomiRedmiNote9S_T', 'iPhone7_F', 'XiaomiRedmi4_B', 'OppoFindX3Neo_A', 'iPhone12_W', 'iPhoneXSMax_M', 'OnePlusNord_O', 'HuaweiL21_D', 'iPhone11_C', 'iPhone11_M', 'SamsungS4_C', 'iPhone6_N', 'XiaomiRedmi5_J', 'iPhone12_M', 'iPhone7_X', 'iPhoneXR_L', 'GooglePixel3A_L')",0.8758250964040956,0.9111461342819615,0.9494358091440608,16,0,6.0,22
"('OnePlusNord_O', 'HuaweiL21_D', 'SamsungS6_H', 'iPhone12Pro_C', 'SamsungM31_A', 'iPhone12_W', 'iPhoneXR_U', 'OppoFindX3Neo_A', 'iPhoneXSMax_M', 'iPhone12_M', 'XiaomiRedmiNote7_S', 'XiaomiA2_E', 'HuaweiP10_Q', 'SamsungS7_I', 'HuaweiP20_G', 'S21Ultra_M', 'iPhone11_F', 'iPhone7_F', 'iPhone11_B', 'GooglePixel3A_V', 'XiaomiRedmi4_B', 'iPhone11_M', 'XiaomiRedmi5_J')",0.8428138368940503,0.8790367171340551,0.9185130359157578,18,0,5.0,23
"('HuaweiL21_D', 'GooglePixel3A_L', 'HuaweiHonor9_R', 'iPhoneXR_A', 'iPhone12_M', 'iPhone7_F', 'OppoFindX3Neo_A', 'HuaweiP20_G', 'SamsungS7_I', 'XiaomiRedmi4_B', 'iPhone12Pro_C', 'OnePlusNord_O', 'SamsungS6_H', 'GooglePixel3A_V', 'iPhone12_W', 'iPhone11_C', 'iPhoneXR_U', 'XiaomiRedmiNote7_S', 'HuaweiP10_Q', 'iPhone11_M', 'iPhone7_X', 'iPhone6_N', 'XiaomiA2_E', 'iPhone11_F')",0.880779392840593,0.9031034700910648,0.9265886198307728,20,0,4.0,24
"('iPhoneXR_U', 'SamsungJ6_K', 'OnePlusNord_O', 'iPhoneXSMax_M', 'iPhoneXR_L', 'GooglePixel3A_V', 'XiaomiRedmiNote9S_T', 'iPhone12Pro_C', 'XiaomiRedmiNote7_S', 'iPhone7_F', 'SamsungM31_A', 'iPhone12_W', 'iPhone11_F', 'iPhone6_N', 'XiaomiRedmi4_B', 'XiaomiRedmi5_J', 'iPhone12_M', 'HuaweiP20_G', 'GooglePixel3A_L', 'S21Ultra_M', 'iPhone11_C', 'HuaweiHonor9_R', 'SamsungS6_H', 'iPhoneXR_A', 'iPhone11_M')",0.8435619364623334,0.8869075985283368,0.9349491071549656,17,0,8.0,25
"('XiaomiRedmi4_B', 'iPhone12_W', 'HuaweiL21_D', 'iPhone7_X', 'XiaomiRedmiNote9S_T', 'OppoFindX3Neo_A', 'iPhoneXR_A', 'iPhone11_B', 'GooglePixel3A_V', 'iPhoneXR_U', 'HuaweiHonor9_R', 'SamsungS7_I', 'iPhone6_N', 'iPhone11_C', 'XiaomiRedmi5_J', 'SamsungM31_A', 'S21Ultra_M', 'OnePlusNord_O', 'XiaomiRedmiNote7_S', 'SamsungS4_C', 'HuaweiP20_G', 'iPhoneXR_L', 'HuaweiP10_Q', 'iPhoneXSMax_M', 'iPhone11_M', 'XiaomiA2_E')",0.8622575363277561,0.9013571409755798,0.9441711703401675,21,0,5.0,26
"('iPhoneXR_A', 'iPhone11_C', 'iPhoneXSMax_M', 'iPhone12_M', 'HuaweiHonor9_R', 'GooglePixel3A_L', 'XiaomiA2_E', 'iPhone11_B', 'XiaomiRedmiNote9S_T', 'HuaweiL21_D', 'iPhone7_X', 'XiaomiRedmiNote7_S', 'OnePlusNord_O', 'XiaomiRedmi5_J', 'S21Ultra_M', 'HuaweiP10_Q', 'SamsungS4_C', 'iPhone11_M', 'iPhone6_N', 'iPhone12Pro_C', 'HuaweiP20_G', 'iPhone11_F', 'XiaomiRedmi4_B', 'OppoFindX3Neo_A', 'iPhoneXR_L', 'iPhone12_W', 'SamsungJ6_K')",0.8438545559758733,0.890781609175908,0.9432352587460475,21,0,6.0,27
"('GooglePixel3A_L', 'iPhone11_B', 'iPhoneXR_A', 'iPhone11_F', 'HuaweiL21_D', 'HuaweiP10_Q', 'S21Ultra_M', 'iPhone7_X', 'iPhone12_W', 'iPhone12Pro_C', 'XiaomiRedmiNote7_S', 'iPhone7_F', 'iPhone6_N', 'SamsungJ6_K', 'OnePlusNord_O', 'SamsungM31_A', 'XiaomiRedmiNote9S_T', 'iPhone11_C', 'XiaomiRedmi4_B', 'OppoFindX3Neo_A', 'iPhoneXR_L', 'iPhoneXSMax_M', 'GooglePixel3A_V', 'XiaomiRedmi5_J', 'SamsungS6_H', 'SamsungS4_C', 'SamsungS7_I', 'HuaweiHonor9_R')",0.8645301628596056,0.908372276133932,0.9568985831097025,19,0,9.0,28
"('S21Ultra_M', 'XiaomiRedmi5_J', 'HuaweiP20_G', 'iPhone12Pro_C', 'XiaomiA2_E', 'XiaomiRedmiNote7_S', 'iPhone11_M', 'SamsungS7_I', 'iPhone7_F', 'GooglePixel3A_L', 'HuaweiL21_D', 'HuaweiHonor9_R', 'HuaweiP10_Q', 'iPhone12_M', 'GooglePixel3A_V', 'SamsungS4_C', 'iPhone11_C', 'iPhone12_W', 'iPhone11_F', 'iPhoneXR_A', 'iPhoneXR_U', 'iPhoneXR_L', 'XiaomiRedmi4_B', 'iPhone11_B', 'iPhone6_N', 'iPhoneXSMax_M', 'SamsungJ6_K', 'SamsungM31_A', 'iPhone7_X')",0.8211861604001152,0.8798609078125029,0.9475656210070893,19,0,10.0,29
