,MAC Address,FSCT-1,FSCT-2,FSCT-3,FSCT-4,FSCT-5,FSCT-6,FSCT-7,FSCT-8,FSCT-9,FSCT-10,FSCT-11,FSCT-12,FSCT-13,Label
31,02:64:a9:45:e1:b0,0.0,0.123528957,0.168042898,1.0,1.0,0.423985004,0.51326704,1.0,0.682265996,0.766764879,0.851269006,0.935802936,1.020060062,SamsungS7_I
32,02:64:b0:61:28:32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
33,02:68:10:83:f0:61,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_C
34,02:69:1d:58:5a:59,0.0,1.0,1.0,1.0,1.0,0.026502847,1.0,1.0,1.0,1.0,0.053496837,1.0,1.0,iPhone7_X
35,02:71:dc:6f:49:fa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone12_W
36,02:73:6d:61:92:44,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
37,02:76:78:88:52:e2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhoneXR_L
38,02:77:58:67:ad:de,0.0,0.08892107,0.177766085,1.0,0.345598936,0.429776907,1.0,1.0,0.681265116,0.765793085,0.850297928,0.934829951,1.022077084,SamsungS7_I
39,02:7a:98:0a:f1:3b,0.0,0.083906174,0.167545081,1.0,1.0,0.421420098,1.0,1.0,0.671919108,0.755439043,0.838932991,0.922471047,1.006688118,SamsungS7_I
40,02:7c:28:f1:b0:32,0.0,0.089750052,0.179590941,1.0,1.0,0.431072951,1.0,1.0,0.681633949,0.765218973,0.849720001,0.939447165,1.0296731,SamsungS7_I
41,02:7c:eb:56:30:e5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_B
42,02:84:0c:20:c0:9b,0.0,0.084511996,0.168261052,1.0,1.0,0.433706046,1.0,1.0,0.681571007,0.766180993,0.850664139,0.935235024,1.022974015,SamsungS7_I
43,02:8a:46:d4:7b:0b,0.0,0.084190846,0.167865992,1.0,1.0,0.426328898,1.0,1.0,0.676872015,0.76045084,0.844954014,0.929520846,1.017431975,SamsungS7_I
44,02:8c:f7:68:e1:d6,0.0,0.083777905,0.173897982,1.0,1.0,0.44014287,0.528995037,1.0,0.707108021,0.796745062,0.885674954,0.974420071,1.063803912,SamsungS7_I
