,Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
289,2021-06-29 12:34:04.710474968,da:a1:19:88:8d:69,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
290,2021-06-29 08:39:13.982465982,da:a1:19:eb:bb:d9,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
291,2021-06-29 09:05:58.326705933,da:a1:19:4a:e9:b5,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
292,2021-06-29 08:29:06.853290081,da:a1:19:11:a4:dc,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
293,2021-06-29 13:44:53.017200947,5c:c3:07:07:af:59,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
294,2021-06-29 12:45:39.704499006,da:a1:19:5c:fd:12,11,12.0,0,22,53,1ecb967c,0,0,-1,-1,163,HuaweiHonor9_R
295,2021-06-29 08:42:51.592612028,da:a1:19:77:2d:6e,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
296,2021-06-29 08:34:43.940562010,da:a1:19:11:a4:dc,11,11.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
297,2021-06-29 12:27:31.703147888,da:a1:19:f0:d1:8d,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
298,2021-06-29 12:35:35.200763941,da:a1:19:83:20:fd,11,13.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
299,2021-06-29 08:34:41.302014112,da:a1:19:8f:5a:d4,11,13.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
300,2021-06-29 12:19:03.908678055,da:a1:19:9d:61:78,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
301,2021-06-29 08:26:31.961958885,da:a1:19:4a:e9:b5,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
302,2021-06-29 08:34:41.176532030,da:a1:19:8f:5a:d4,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
303,2021-06-29 12:57:09.527020931,da:a1:19:dd:27:61,11,9.0,0,22,53,1ecb967c,0,0,-1,-1,163,HuaweiHonor9_R
304,2021-06-29 09:09:00.865483999,da:a1:19:3a:78:3d,11,6.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
305,2021-06-29 12:46:39.302839041,da:a1:19:5d:e6:cc,1,7.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
306,2021-06-29 12:52:40.642071009,da:a1:19:4b:ac:60,11,13.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
307,2021-06-29 12:22:14.131263018,da:a1:19:83:20:81,11,11.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
308,2021-06-29 12:34:04.690399885,da:a1:19:88:8d:69,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
309,2021-06-29 08:32:09.622776031,da:a1:19:34:8e:c7,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
310,2021-06-29 12:29:01.793171883,da:a1:19:4a:54:59,1,3.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
311,2021-06-29 08:59:01.338573933,da:a1:19:34:8e:70,11,13.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
312,2021-06-29 09:00:57.665404081,da:a1:19:c3:56:4d,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
313,2021-06-29 08:55:57.042890072,da:a1:19:5d:d9:33,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
314,2021-06-29 12:21:13.236076117,da:a1:19:8f:e1:f4,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
315,2021-06-29 12:33:26.032500029,da:a1:19:9b:5a:2a,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
316,2021-06-29 08:34:10.080111980,da:a1:19:2d:5e:0b,11,11.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
317,2021-06-29 12:29:45.832210064,da:a1:19:8c:8b:5b,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
318,2021-06-29 08:43:51.967372894,da:a1:19:8b:57:42,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
319,2021-06-29 12:23:23.083384991,da:a1:19:25:2a:ac,1,6.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
320,2021-06-29 08:32:36.868079901,da:a1:19:1e:b5:a8,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
321,2021-06-29 12:34:35.111634970,da:a1:19:8e:c1:f1,11,11.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
322,2021-06-29 08:34:43.625157118,da:a1:19:11:a4:dc,1,3.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
323,2021-06-29 12:52:09.606765032,da:a1:19:9d:3e:f7,11,10.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
324,2021-06-29 12:19:03.888475895,da:a1:19:9d:61:78,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
325,2021-06-29 08:43:51.655594110,da:a1:19:8b:57:42,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
326,2021-06-29 12:57:08.910860062,da:a1:19:dd:27:61,1,2.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
327,2021-06-29 08:30:39.224807978,da:a1:19:71:e5:2a,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
328,2021-06-29 12:33:26.010781050,da:a1:19:9b:5a:2a,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
329,2021-06-29 08:39:13.689771891,da:a1:19:eb:bb:d9,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
330,2021-06-29 08:35:44.029805899,da:a1:19:23:48:b8,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
331,2021-06-29 12:57:44.138885021,da:a1:19:fa:de:78,11,11.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
332,2021-06-29 08:27:31.900042057,da:a1:19:86:8d:91,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
333,2021-06-29 13:18:28.823836088,5c:c3:07:07:af:59,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
334,2021-06-29 12:46:08.808507919,da:a1:19:9c:6e:77,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
335,2021-06-29 12:17:25.829729080,da:a1:19:56:63:e3,1,4.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
336,2021-06-29 08:28:33.785012960,da:a1:19:7c:34:d1,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
337,2021-06-29 12:19:04.368809938,da:a1:19:9d:61:78,11,13.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
338,2021-06-29 12:47:08.817292929,da:a1:19:a5:4d:95,1,1.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
339,2021-06-29 08:32:09.601038933,da:a1:19:34:8e:c7,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
340,2021-06-29 12:27:31.745659113,da:a1:19:f0:d1:8d,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
341,2021-06-29 12:19:05.016012907,da:a1:19:c1:3e:0a,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
342,2021-06-29 12:52:09.649210930,da:a1:19:9d:3e:f7,11,11.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
343,2021-06-29 12:34:35.089917898,da:a1:19:8e:c1:f1,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
344,2021-06-29 12:21:13.751226902,da:a1:19:04:fb:d8,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
345,2021-06-29 12:28:31.748254061,da:a1:19:5c:d7:41,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
346,2021-06-29 12:16:54.873697042,da:a1:19:a6:33:62,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
347,2021-06-29 13:29:44.869381905,5c:c3:07:07:af:59,11,13.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
348,2021-06-29 13:02:09.536216974,da:a1:19:77:c7:c0,11,9.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
349,2021-06-29 08:30:36.862612009,da:a1:19:54:2b:5f,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
350,2021-06-29 09:04:00.443146944,da:a1:19:03:39:36,1,2.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
351,2021-06-29 08:41:21.912676096,da:a1:19:88:8d:69,1,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
352,2021-06-29 08:41:52.051111937,da:a1:19:86:8d:91,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
353,2021-06-29 08:34:43.521440029,da:a1:19:11:a4:dc,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
354,2021-06-29 13:54:54.951558113,5c:c3:07:07:af:59,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
355,2021-06-29 12:23:53.232074022,da:a1:19:9c:6e:77,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
356,2021-06-29 12:46:09.097028971,da:a1:19:9c:6e:77,1,4.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
357,2021-06-29 12:46:38.848872900,da:a1:19:5d:e6:cc,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
358,2021-06-29 08:25:57.747013092,da:a1:19:d1:b8:3e,11,13.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
359,2021-06-29 08:33:39.716108084,da:a1:19:11:a4:dc,1,3.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
360,2021-06-29 12:24:52.878784895,da:a1:19:57:35:af,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
361,2021-06-29 08:41:51.612710953,da:a1:19:86:8d:91,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
362,2021-06-29 13:39:48.716715097,5c:c3:07:07:af:59,11,13.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
363,2021-06-29 12:57:09.768326998,da:a1:19:dd:27:61,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
364,2021-06-29 08:40:18.805593967,da:a1:19:dd:dc:1a,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
365,2021-06-29 08:27:31.606641054,da:a1:19:86:8d:91,1,3.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
366,2021-06-29 09:09:00.866864920,da:a1:19:3a:78:3d,11,6.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
367,2021-06-29 08:36:13.998831034,da:a1:19:9c:29:b5,11,11.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
368,2021-06-29 12:52:09.158509970,da:a1:19:9d:3e:f7,1,5.0,0,22,53,1ecb967c,0,0,-1,-1,163,HuaweiHonor9_R
369,2021-06-29 12:45:39.572293997,da:a1:19:5c:fd:12,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
370,2021-06-29 12:29:47.130929946,da:a1:19:e6:fd:e8,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
371,2021-06-29 08:29:36.574680090,da:a1:19:48:e1:0d,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
372,2021-06-29 12:46:39.588072062,da:a1:19:5d:e6:cc,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
373,2021-06-29 08:40:51.902564049,da:a1:19:e5:4d:6b,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
374,2021-06-29 12:21:13.792841911,da:a1:19:04:fb:d8,1,3.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
375,2021-06-29 12:45:39.820580959,da:a1:19:5c:fd:12,11,13.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
