,Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label,Length NO SSID
25327,2021-06-03 09:25:21.728462934,00:be:3b:a2:a8:56,11,10.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25328,2021-06-03 08:32:23.168709040,00:be:3b:a2:a8:56,1,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25329,2021-06-03 09:02:07.947901964,00:be:3b:a2:a8:56,11,8.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25330,2021-06-03 09:29:00.100820065,00:be:3b:a2:a8:56,11,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25331,2021-06-03 10:37:36.356488943,00:be:3b:a2:a8:56,1,12.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25332,2021-06-03 09:31:00.051259995,00:be:3b:a2:a8:56,11,11.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25333,2021-06-03 09:25:59.924226046,00:be:3b:a2:a8:56,1,7.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25334,2021-06-03 09:30:59.963490009,00:be:3b:a2:a8:56,11,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25335,2021-06-03 09:08:28.802954912,00:be:3b:a2:a8:56,11,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25336,2021-06-03 08:32:23.103418112,00:be:3b:a2:a8:56,11,2.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25337,2021-06-03 08:50:15.548573017,00:be:3b:a2:a8:56,11,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25338,2021-06-03 08:42:37.335031033,00:be:3b:a2:a8:56,11,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25339,2021-06-03 08:46:07.448060989,00:be:3b:a2:a8:56,1,6.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25340,2021-06-03 09:25:28.521205902,00:be:3b:a2:a8:56,1,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25341,2021-06-03 10:26:56.881896973,00:be:3b:a2:a8:56,1,3.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25342,2021-06-03 09:25:20.168795109,00:be:3b:a2:a8:56,1,7.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25343,2021-06-03 10:48:05.819063902,00:be:3b:a2:a8:56,11,11.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25344,2021-06-03 09:12:12.637370110,00:be:3b:a2:a8:56,11,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25345,2021-06-03 08:42:01.236870050,00:be:3b:a2:a8:56,6,6.0,2,4,54,-1,0,0,-1,-1,141,HuaweiP20_G,141
25346,2021-06-03 10:21:39.075551033,00:be:3b:a2:a8:56,1,6.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25347,2021-06-03 09:13:28.150255919,00:be:3b:a2:a8:56,1,1.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25348,2021-06-03 09:26:30.052472115,00:be:3b:a2:a8:56,11,10.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25349,2021-06-03 08:36:23.232759953,00:be:3b:a2:a8:56,1,6.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25350,2021-06-03 08:40:01.210439920,00:be:3b:a2:a8:56,11,5.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25351,2021-06-03 08:37:31.549026966,00:be:3b:a2:a8:56,11,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25352,2021-06-03 08:48:45.498461962,00:be:3b:a2:a8:56,11,2.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25353,2021-06-03 08:31:52.488383055,00:be:3b:a2:a8:56,11,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25354,2021-06-03 08:45:07.200633049,00:be:3b:a2:a8:56,1,1.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25355,2021-06-03 09:07:08.380635023,00:be:3b:a2:a8:56,11,13.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25356,2021-06-03 08:48:15.456466913,00:be:3b:a2:a8:56,1,1.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25357,2021-06-03 08:39:01.113401890,00:be:3b:a2:a8:56,1,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25358,2021-06-03 08:31:53.168792009,00:be:3b:a2:a8:56,1,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25359,2021-06-03 08:42:01.508295059,00:be:3b:a2:a8:56,11,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25360,2021-06-03 09:28:00.065123081,00:be:3b:a2:a8:56,11,11.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25361,2021-06-03 09:22:20.159035921,00:be:3b:a2:a8:56,6,6.0,2,4,54,-1,0,0,-1,-1,141,HuaweiP20_G,141
25362,2021-06-03 10:42:35.974651098,00:be:3b:a2:a8:56,1,7.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25363,2021-06-03 09:26:00.124190092,00:be:3b:a2:a8:56,6,12.0,2,4,54,-1,0,0,-1,-1,141,HuaweiP20_G,141
25364,2021-06-03 09:02:08.393557072,00:be:3b:a2:a8:56,11,13.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25365,2021-06-03 08:43:07.667572975,00:be:3b:a2:a8:56,1,11.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25366,2021-06-03 09:46:32.202760935,00:be:3b:a2:a8:56,11,11.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25367,2021-06-03 08:36:23.056092024,00:be:3b:a2:a8:56,1,2.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25368,2021-06-03 10:42:36.193453074,00:be:3b:a2:a8:56,11,9.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25369,2021-06-03 08:38:31.561608076,00:be:3b:a2:a8:56,11,13.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25370,2021-06-03 09:30:59.654830933,00:be:3b:a2:a8:56,11,2.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25371,2021-06-03 10:00:12.494740963,00:be:3b:a2:a8:56,1,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25372,2021-06-03 08:38:01.454545975,00:be:3b:a2:a8:56,11,10.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25373,2021-06-03 08:37:23.419467926,00:be:3b:a2:a8:56,1,10.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25374,2021-06-03 10:01:32.394171000,00:be:3b:a2:a8:56,11,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25375,2021-06-03 09:25:28.432137012,00:be:3b:a2:a8:56,11,10.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25376,2021-06-03 08:35:23.198183060,00:be:3b:a2:a8:56,11,5.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25377,2021-06-03 08:43:07.487845898,00:be:3b:a2:a8:56,11,7.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25378,2021-06-03 08:31:52.842201948,00:be:3b:a2:a8:56,11,11.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25379,2021-06-03 09:08:29.159116030,00:be:3b:a2:a8:56,11,13.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25380,2021-06-03 09:33:00.052405119,00:be:3b:a2:a8:56,1,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25381,2021-06-03 08:31:52.753870010,00:be:3b:a2:a8:56,11,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25382,2021-06-03 08:37:30.606561899,00:be:3b:a2:a8:56,1,6.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25383,2021-06-03 09:55:08.091839075,00:be:3b:a2:a8:56,11,11.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25384,2021-06-03 08:37:23.046191931,00:be:3b:a2:a8:56,1,2.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25385,2021-06-03 10:26:57.260827065,00:be:3b:a2:a8:56,1,7.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25386,2021-06-03 09:25:59.746448040,00:be:3b:a2:a8:56,11,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25387,2021-06-03 08:38:01.521975994,00:be:3b:a2:a8:56,11,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25388,2021-06-03 09:27:00.141310930,00:be:3b:a2:a8:56,1,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25389,2021-06-03 09:19:20.210261106,00:be:3b:a2:a8:56,1,7.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25390,2021-06-03 09:13:28.319983959,00:be:3b:a2:a8:56,1,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25391,2021-06-03 08:42:01.354598045,00:be:3b:a2:a8:56,1,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25392,2021-06-03 09:30:59.627139091,00:be:3b:a2:a8:56,1,1.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25393,2021-06-03 09:37:00.004405022,00:be:3b:a2:a8:56,1,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25394,2021-06-03 10:48:05.944112062,00:be:3b:a2:a8:56,1,12.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25395,2021-06-03 10:21:38.863404989,00:be:3b:a2:a8:56,1,3.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25396,2021-06-03 08:57:07.938618898,00:be:3b:a2:a8:56,11,10.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25397,2021-06-03 08:35:23.174603939,00:be:3b:a2:a8:56,1,4.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25398,2021-06-03 09:07:08.169182062,00:be:3b:a2:a8:56,11,10.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25399,2021-06-03 08:33:23.308578968,00:be:3b:a2:a8:56,1,7.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25400,2021-06-03 08:42:37.057854891,00:be:3b:a2:a8:56,1,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25401,2021-06-03 08:32:53.135195971,00:be:3b:a2:a8:56,1,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25402,2021-06-03 08:47:45.138052940,00:be:3b:a2:a8:56,1,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25403,2021-06-03 08:39:01.244820118,00:be:3b:a2:a8:56,1,6.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25404,2021-06-03 08:48:15.565660000,00:be:3b:a2:a8:56,1,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25405,2021-06-03 09:25:30.147850990,00:be:3b:a2:a8:56,11,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25406,2021-06-03 08:37:23.535717010,00:be:3b:a2:a8:56,11,13.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25407,2021-06-03 09:23:19.898451090,00:be:3b:a2:a8:56,1,1.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25408,2021-06-03 08:38:31.472604990,00:be:3b:a2:a8:56,1,11.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25409,2021-06-03 09:07:07.875519037,00:be:3b:a2:a8:56,1,7.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25410,2021-06-03 09:20:20.332400084,00:be:3b:a2:a8:56,11,10.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25411,2021-06-03 10:01:31.428936005,00:be:3b:a2:a8:56,1,1.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25412,2021-06-03 09:56:31.937190056,00:be:3b:a2:a8:56,11,7.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25413,2021-06-03 08:47:45.202327013,00:be:3b:a2:a8:56,6,10.0,2,4,54,-1,0,0,-1,-1,141,HuaweiP20_G,153
25414,2021-06-03 08:47:45.202327013,00:be:3b:a2:a8:56,6,10.0,2,4,54,-1,0,0,-1,-1,141,HuaweiP20_G,141
25415,2021-06-03 08:33:23.239684105,00:be:3b:a2:a8:56,11,5.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25416,2021-06-03 08:39:01.320760012,00:be:3b:a2:a8:56,1,7.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25417,2021-06-03 08:42:01.463695049,00:be:3b:a2:a8:56,1,11.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25418,2021-06-03 10:42:35.925959110,00:be:3b:a2:a8:56,6,6.0,2,5,54,-1,0,0,-1,-1,133,HuaweiP20_G,133
25419,2021-06-03 08:40:01.210422993,00:be:3b:a2:a8:56,1,5.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25420,2021-06-03 08:38:31.267564058,00:be:3b:a2:a8:56,1,6.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
